Species (ASFIS species),Species (Main grouping),Species (Order),Species (Family),Species (ASFIS species),Species (ASFIS species),Aquaculture area (FAO major fishing area),Environment (Environment)
Black prochilodus,PISCES,CHARACIFORMES,CURIMATIDAE,Prochilodus nigricans,1381200130,All,Freshwater
Marble goby,PISCES,GOBIOIDEI,ELEOTRIDAE,Oxyeleotris marmorata,1732005101,All,Freshwater
Nile tilapia,PISCES,PERCOIDEI,CICHLIDAE,Oreochromis niloticus,1705905102,All,Brackishwater
Torpedo-shaped catfishes nei,PISCES,SILURIFORMES,CLARIIDAE,Clarias spp,14118030XX,All,Freshwater
Hoven's carp,PISCES,CYPRINIFORMES,CYPRINIDAE,Leptobarbus hoeveni,1400213201,All,Freshwater
[Hoplias spp],PISCES,CHARACIFORMES,ERYTHRINIDAE,Hoplias spp,13808017XX,All,Freshwater
Sixfinger threadfin,PISCES,PERCOIDEI,POLYNEMIDAE,Polydactylus sexfilis,1707700104,All,Marine
Metapenaeus shrimps nei,CRUSTACEA,NATANTIA,PENAEIDAE,Metapenaeus spp,22801016XX,All,Brackishwater
[Cichla spp],PISCES,PERCOIDEI,CICHLIDAE,Cichla spp,17059054XX,All,Freshwater
Asian redtail catfish,PISCES,SILURIFORMES,BAGRIDAE,Hemibagrus nemurus,1410801505,All,Freshwater
Dorado,PISCES,CHARACIFORMES,CHARACIDAE,Salminus brasiliensis,1380102304,All,Freshwater
Spotted rose snapper,PISCES,PERCOIDEI,LUTJANIDAE,Lutjanus guttatus,1703202729,All,Brackishwater
Black ark,MOLLUSCA,BIVALVIA,ARCIDAE,Anadara tuberculosa,3160407112,All,Marine
Cyprinids nei,PISCES,CYPRINIFORMES,CYPRINIDAE,Cyprinidae,14002XXXXX,All,Brackishwater
"Clams, etc. nei",MOLLUSCA,BIVALVIA,,Bivalvia,316XXXXXXX,All,Marine
Kissing gourami,PISCES,"STROMATEOIDEI, ANABANTOIDEI",HELOSTOMATIDAE,Helostoma temminckii,1761100601,All,Freshwater
Small scale mud carp,PISCES,CYPRINIFORMES,CYPRINIDAE,Cirrhinus microlepis,1400202505,All,Freshwater
Euro-American crayfishes nei,CRUSTACEA,REPTANTIA,,"Astacidae, Cambaridae",229XXXXXXX031,All,Freshwater
Giant clams nei,MOLLUSCA,BIVALVIA,TRIDACNIDAE,Tridacna spp,31626050XX,All,Marine
Turbot,PISCES,PLEURONECTIFORMES,SCOPHTHALMIDAE,Psetta maxima,1830509201,All,Marine
European eel,PISCES,ANGUILLIFORMES,ANGUILLIDAE,Anguilla anguilla,1430200201,All,Freshwater
Orange-spotted grouper,PISCES,PERCOIDEI,SERRANIDAE,Epinephelus coioides,1700204257,All,Marine
Redbreast tilapia,PISCES,PERCOIDEI,CICHLIDAE,Tilapia rendalli,1705905517,All,Freshwater
Snappers nei,PISCES,PERCOIDEI,LUTJANIDAE,Lutjanus spp,17032027XX,All,Marine
Torpedo-shaped catfishes nei,PISCES,SILURIFORMES,CLARIIDAE,Clarias spp,14118030XX,All,Brackishwater
Banded astyanax,PISCES,CHARACIFORMES,CHARACIDAE,Astyanax fasciatus,1380100901,All,Freshwater
Sea cucumbers nei,INVERTEBRATA AQUATICA,HOLOTHUROIDEA,,Holothuroidea,694XXXXXXX,All,Marine
Blue tilapia,PISCES,PERCOIDEI,CICHLIDAE,Oreochromis aureus,1705905103,All,Brackishwater
Bagrid catfish,PISCES,SILURIFORMES,BAGRIDAE,Chrysichthys nigrodigitatus,1410807802,All,Brackishwater
Pacific fat sleeper,PISCES,GOBIOIDEI,ELEOTRIDAE,Dormitator latifrons,1732000901,All,Freshwater
Solen razor clams nei,MOLLUSCA,BIVALVIA,SOLENIDAE,Solen spp,31616003XX,All,Marine
Caribbean spiny lobster,CRUSTACEA,REPTANTIA,PALINURIDAE,Panulirus argus,2290100108,All,Marine
Barred sorubim,PISCES,SILURIFORMES,PIMELODIDAE,Pseudoplatystoma fasciatum,1412209002,All,Freshwater
Sevan trout,PISCES,SALMONIFORMES,SALMONIDAE,Salmo ischchan,1230100406,All,Freshwater
Mango tilapia,PISCES,PERCOIDEI,CICHLIDAE,Sarotherodon galilaeus,1705905201,All,Freshwater
Common sole,PISCES,PLEURONECTIFORMES,SOLEIDAE,Solea solea,1830300701,All,Marine
[Brycon spp],PISCES,CHARACIFORMES,CHARACIDAE,Brycon spp,13801013XX,All,Freshwater
Striped snakehead,PISCES,OTHER PERCIFORMES,CHANNIDAE,Channa striata,1771900103,All,Freshwater
Isok barb,PISCES,CYPRINIFORMES,CYPRINIDAE,Probarbus jullieni,1400205301,All,Freshwater
[Leporinus spp],PISCES,CHARACIFORMES,ANOSTOMIDAE,Leporinus spp,13804011XX,All,Freshwater
Arctic char,PISCES,SALMONIFORMES,SALMONIDAE,Salvelinus alpinus,1230101005,All,Brackishwater
Arapaima,PISCES,OSTEOGLOSSIFORMES,OSTEOGLOSSIDAE,Arapaima gigas,1280100101,All,Freshwater
[Brycon amazonicus],PISCES,CHARACIFORMES,CHARACIDAE,Brycon amazonicus,1380101305,All,Freshwater
Three spotted tilapia,PISCES,PERCOIDEI,CICHLIDAE,Oreochromis andersonii,1705905110,All,Freshwater
Marine fishes nei,PISCES,PISCES MISCELLANEA,,Osteichthyes,199XXXXXXX010,All,Brackishwater
Mozambique tilapia,PISCES,PERCOIDEI,CICHLIDAE,Oreochromis mossambicus,1705905101,All,Brackishwater
Mud carp,PISCES,CYPRINIFORMES,CYPRINIDAE,Cirrhinus molitorella,1400202502,All,Freshwater
Indian backwater oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Crassostrea madrasensis,3160700809,All,Marine
Manipur osteobrama,PISCES,CYPRINIFORMES,CYPRINIDAE,Osteobrama belangeri,1400225701,All,Freshwater
Bear paw clam,MOLLUSCA,BIVALVIA,TRIDACNIDAE,Hippopus hippopus,3162605101,All,Marine
White seabream,PISCES,PERCOIDEI,SPARIDAE,Diplodus sargus,1703903303,All,Marine
"Blue-Nile tilapia, hybrid",PISCES,PERCOIDEI,CICHLIDAE,Oreochromis aureus x O. niloticus,17059051XX001,All,Freshwater
Sea trout,PISCES,SALMONIFORMES,SALMONIDAE,Salmo trutta,1230100402,All,Freshwater
Indonesian snakehead,PISCES,OTHER PERCIFORMES,CHANNIDAE,Channa micropeltes,1771900104,All,Freshwater
"Tambacu, hybrid",PISCES,CHARACIFORMES,CHARACIDAE,P. mesopotamicus x C. macropomum,13801XXXXX001,All,Freshwater
Japanese carpet shell,MOLLUSCA,BIVALVIA,VENERIDAE,Ruditapes philippinarum,3161102002,All,Brackishwater
Chilean mussel,MOLLUSCA,BIVALVIA,MYTILIDAE,Mytilus chilensis,3161000103,All,Marine
Prochilods nei,PISCES,CHARACIFORMES,CURIMATIDAE,Prochilodus spp,13812001XX,All,Freshwater
Giant tiger prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus monodon,2280100112,All,Freshwater
Grooved carpet shell,MOLLUSCA,BIVALVIA,VENERIDAE,Ruditapes decussatus,3161102001,All,Brackishwater
River eels nei,PISCES,ANGUILLIFORMES,ANGUILLIDAE,Anguilla spp,14302002XX,All,Freshwater
European eel,PISCES,ANGUILLIFORMES,ANGUILLIDAE,Anguilla anguilla,1430200201,All,Brackishwater
[Oreochromis tanganicae],PISCES,PERCOIDEI,CICHLIDAE,Oreochromis tanganicae,1705905134,All,Freshwater
African catfish,PISCES,SILURIFORMES,CLARIIDAE,Heterobranchus bidorsalis,1411808701,All,Freshwater
Nilem carp,PISCES,CYPRINIFORMES,CYPRINIDAE,Osteochilus hasselti,1400205101,All,Freshwater
Netted prochilod,PISCES,CHARACIFORMES,CURIMATIDAE,Prochilodus reticulatus,1381200120,All,Freshwater
Sabaki tilapia,PISCES,PERCOIDEI,CICHLIDAE,Oreochromis spilurus,1705905104,All,Brackishwater
Mullets nei,PISCES,MUGILIFORMES,MUGILIDAE,Mugilidae,16501XXXXX,All,Freshwater
European eel,PISCES,ANGUILLIFORMES,ANGUILLIDAE,Anguilla anguilla,1430200201,All,Marine
Catla,PISCES,CYPRINIFORMES,CYPRINIDAE,Catla catla,1400203001,All,Freshwater
Blue tilapia,PISCES,PERCOIDEI,CICHLIDAE,Oreochromis aureus,1705905103,All,Freshwater
Orbicular batfish,PISCES,ACANTHUROIDEI,EPHIPPIDAE,Platax orbicularis,1740520601,All,Marine
Snakeskin gourami,PISCES,"STROMATEOIDEI, ANABANTOIDEI",BELONTIIDAE,Trichogaster pectoralis,1761001302,All,Freshwater
Grooved carpet shell,MOLLUSCA,BIVALVIA,VENERIDAE,Ruditapes decussatus,3161102001,All,Marine
Banana prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus merguiensis,2280100103,All,Brackishwater
Mozambique tilapia,PISCES,PERCOIDEI,CICHLIDAE,Oreochromis mossambicus,1705905101,All,Freshwater
Kelee shad,PISCES,CLUPEIFORMES,CLUPEIDAE,Hilsa kelee,1210503405,All,Freshwater
Gasar cupped oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Crassostrea gasar,3160700816,All,Brackishwater
[Prochilodus mariae],PISCES,CHARACIFORMES,CURIMATIDAE,Prochilodus mariae,1381200131,All,Freshwater
Soles nei,PISCES,PLEURONECTIFORMES,SOLEIDAE,Soleidae,18303XXXXX,All,Marine
Abalones nei,MOLLUSCA,GASTROPODA,HALIOTIDAE,Haliotis spp,30703001XX,All,Brackishwater
Atipa,PISCES,SILURIFORMES,CALLICHTHYIDAE,Hoplosternum littorale,1412704701,All,Freshwater
Redbelly tilapia,PISCES,PERCOIDEI,CICHLIDAE,Tilapia zillii,1705905504,All,Freshwater
Rough turban,MOLLUSCA,GASTROPODA,TURBINIDAE,Turbo setosus,3070500211,All,Marine
Common edible cockle,MOLLUSCA,BIVALVIA,CARDIIDAE,Cerastoderma edule,3162300203,All,Marine
Roach,PISCES,CYPRINIFORMES,CYPRINIDAE,Rutilus rutilus,1400201801,All,Freshwater
Mullets nei,PISCES,MUGILIFORMES,MUGILIDAE,Mugilidae,16501XXXXX,All,Brackishwater
Salmonids nei,PISCES,SALMONIFORMES,SALMONIDAE,Salmonidae,12301XXXXX,All,Marine
South American rock mussel,MOLLUSCA,BIVALVIA,MYTILIDAE,Perna perna,3161003201,All,Marine
Pacu,PISCES,CHARACIFORMES,CHARACIDAE,Piaractus mesopotamicus,1380107602,All,Freshwater
European flat oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Ostrea edulis,3160700205,All,Marine
Blue mussel,MOLLUSCA,BIVALVIA,MYTILIDAE,Mytilus edulis,3161000105,All,Marine
Atlantic ditch shrimp,CRUSTACEA,NATANTIA,PALAEMONIDAE,Palaemonetes varians,2281200705,All,Marine
Milkfish,PISCES,GONORYNCHIFORMES,CHANIDAE,Chanos chanos,1220200101,All,Brackishwater
Giant gourami,PISCES,"STROMATEOIDEI, ANABANTOIDEI",OSPHRONEMIDAE,Osphronemus goramy,1760900701,All,Freshwater
Tench,PISCES,CYPRINIFORMES,CYPRINIDAE,Tinca tinca,1400200701,All,Freshwater
Whiteleg shrimp,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus vannamei,2280100111,All,Marine
Barbel,PISCES,CYPRINIFORMES,CYPRINIDAE,Barbus barbus,1400201301,All,Freshwater
Pacific cupped oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Crassostrea gigas,3160700801,All,Brackishwater
Blue shrimp,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus stylirostris,2280100110,All,Brackishwater
Barramundi(=Giant seaperch),PISCES,PERCOIDEI,CENTROPOMIDAE,Lates calcarifer,1700116701,All,Marine
Snubnose pompano,PISCES,PERCOIDEI,CARANGIDAE,Trachinotus blochii,1702304701,All,Marine
Blacklip pearl oyster,MOLLUSCA,BIVALVIA,PTERIIDAE,Pinctada margaritifera,3160600601,All,Marine
Atlantic salmon,PISCES,SALMONIFORMES,SALMONIDAE,Salmo salar,1230100401,All,Brackishwater
Freshwater siluroids nei,PISCES,SILURIFORMES,,Siluroidei,141XXXXXXX,All,Freshwater
Sobaity seabream,PISCES,PERCOIDEI,SPARIDAE,Sparidentex hasta,1703930001,All,Marine
Cachama,PISCES,CHARACIFORMES,CHARACIDAE,Colossoma macropomum,1380104605,All,Freshwater
Snakeheads(=Murrels) nei,PISCES,OTHER PERCIFORMES,CHANNIDAE,Channa spp,17719001XX,All,Freshwater
"Tambatinga, hybrid",PISCES,CHARACIFORMES,CHARACIDAE,C. macropomum x P. brachypomus,13801XXXXX005,All,Freshwater
Mediterranean mussel,MOLLUSCA,BIVALVIA,MYTILIDAE,Mytilus galloprovincialis,3161000112,All,Marine
Longfin tilapia,PISCES,PERCOIDEI,CICHLIDAE,Oreochromis macrochir,1705905105,All,Freshwater
Sandfish,INVERTEBRATA AQUATICA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria scabra,6940100302,All,Brackishwater
Turbot,PISCES,PLEURONECTIFORMES,SCOPHTHALMIDAE,Psetta maxima,1830509201,All,Brackishwater
Pacific lion's paw,MOLLUSCA,BIVALVIA,PECTINIDAE,Lyropecten subnodosus,3160801001,All,Marine
Crocus giant clam,MOLLUSCA,BIVALVIA,TRIDACNIDAE,Tridacna crocea,3162605004,All,Marine
Jaguar guapote,PISCES,PERCOIDEI,CICHLIDAE,Cichlasoma managuense,1705905306,All,Freshwater
Pacific asaphis,MOLLUSCA,BIVALVIA,PSAMMOBIIDAE,Asaphis violascens,3163800601,All,Marine
Queen conch,MOLLUSCA,GASTROPODA,STROMBIDAE,Strombus gigas,3070600201,All,Marine
Smooth giant clam,MOLLUSCA,BIVALVIA,TRIDACNIDAE,Tridacna derasa,3162605002,All,Marine
Elongate giant clam,MOLLUSCA,BIVALVIA,TRIDACNIDAE,Tridacna maxima,3162605005,All,Marine
Palaemonid shrimps nei,CRUSTACEA,NATANTIA,PALAEMONIDAE,Palaemonidae,22812XXXXX046,All,Marine
South American catfish,PISCES,SILURIFORMES,PIMELODIDAE,Rhamdia quelen,1412202102,All,Freshwater
Atlantic wolffish,PISCES,ZOARCOIDEI,ANARHICHADIDAE,Anarhichas lupus,1710200101,All,Marine
Spotted wolffish,PISCES,ZOARCOIDEI,ANARHICHADIDAE,Anarhichas minor,1710200103,All,Marine
Short-finned eel,PISCES,ANGUILLIFORMES,ANGUILLIDAE,Anguilla australis,1430200207,All,Brackishwater
River eels nei,PISCES,ANGUILLIFORMES,ANGUILLIDAE,Anguilla spp,14302002XX,All,Brackishwater
[Anostomoides laticeps],PISCES,CHARACIFORMES,ANOSTOMIDAE,Anostomoides laticeps,1380400501,All,Freshwater
Pacific calico scallop,MOLLUSCA,BIVALVIA,PECTINIDAE,Argopecten ventricosus,3160803004,All,Marine
Japanese meagre,PISCES,PERCOIDEI,SCIAENIDAE,Argyrosomus japonicus,1703710602,All,Brackishwater
Japanese meagre,PISCES,PERCOIDEI,SCIAENIDAE,Argyrosomus japonicus,1703710602,All,Marine
Brine shrimp,CRUSTACEA,ANOSTRACA,ARTEMIIDAE,Artemia salina,2020200101,All,Brackishwater
Brine shrimp,CRUSTACEA,ANOSTRACA,ARTEMIIDAE,Artemia salina,2020200101,All,Marine
Asp,PISCES,CYPRINIFORMES,CYPRINIDAE,Aspius aspius,1400211501,All,Freshwater
Big-scale sand smelt,PISCES,ATHERINIFORMES,ATHERINIDAE,Atherina boyeri,1630200301,All,Marine
Silversides(=Sand smelts) nei,PISCES,ATHERINIFORMES,ATHERINIDAE,Atherinidae,16302XXXXX,All,Brackishwater
Silversides(=Sand smelts) nei,PISCES,ATHERINIFORMES,ATHERINIDAE,Atherinidae,16302XXXXX,All,Freshwater
Bayad,PISCES,SILURIFORMES,BAGRIDAE,Bagrus bajad,1410811101,All,Freshwater
Naked catfishes,PISCES,SILURIFORMES,BAGRIDAE,Bagrus spp,14108111XX,All,Freshwater
Silver barb,PISCES,CYPRINIFORMES,CYPRINIDAE,Barbonymus gonionotus,1400233501,All,Brackishwater
Ripon barbel,PISCES,CYPRINIFORMES,CYPRINIDAE,Barbus altianalis,1400201328,All,Freshwater
"Clams, etc. nei",MOLLUSCA,BIVALVIA,,Bivalvia,316XXXXXXX,All,Brackishwater
"Clams, etc. nei",MOLLUSCA,BIVALVIA,,Bivalvia,316XXXXXXX,All,Freshwater
White bream,PISCES,CYPRINIFORMES,CYPRINIDAE,Blicca bjoerkna,1400233301,All,Freshwater
Great blue spotted mudskipper,PISCES,GOBIOIDEI,GOBIIDAE,Boleophthalmus pectinirostris,1732106502,All,Brackishwater
Great blue spotted mudskipper,PISCES,GOBIOIDEI,GOBIIDAE,Boleophthalmus pectinirostris,1732106502,All,Freshwater
Marine crabs nei,CRUSTACEA,BRACHYURA,,Brachyura,231XXXXXXX,All,Freshwater
Marine crabs nei,CRUSTACEA,BRACHYURA,,Brachyura,231XXXXXXX,All,Marine
[Brycon hilarii],PISCES,CHARACIFORMES,CHARACIDAE,Brycon hilarii,1380101315,All,Freshwater
Dorada,PISCES,CHARACIFORMES,CHARACIDAE,Brycon moorei,1380101330,All,Freshwater
Blue crab,CRUSTACEA,BRACHYURA,PORTUNIDAE,Callinectes sapidus,2311101202,All,Brackishwater
Callinectes swimcrabs nei,CRUSTACEA,BRACHYURA,PORTUNIDAE,Callinectes spp,23111012XX,All,Brackishwater
Filefishes nei,PISCES,TETRAODONTIFORMES,MONACANTHIDAE,Cantherhines (=Navodon) spp,19009004XX,All,Marine
Malabar trevally,PISCES,PERCOIDEI,CARANGIDAE,Carangoides malabaricus,1702311412,All,Marine
Bigeye trevally,PISCES,PERCOIDEI,CARANGIDAE,Caranx sexfasciatus,1702304411,All,Marine
Cockles nei,MOLLUSCA,BIVALVIA,CARDIIDAE,Cardiidae,31623XXXXX,All,Marine
Snooks(=Robalos) nei,PISCES,PERCOIDEI,CENTROPOMIDAE,Centropomus spp,17001025XX,All,Freshwater
Snooks(=Robalos) nei,PISCES,PERCOIDEI,CENTROPOMIDAE,Centropomus spp,17001025XX,All,Marine
Common snook,PISCES,PERCOIDEI,CENTROPOMIDAE,Centropomus undecimalis,1700102510,All,Brackishwater
Common snook,PISCES,PERCOIDEI,CENTROPOMIDAE,Centropomus undecimalis,1700102510,All,Marine
Black seabass,PISCES,PERCOIDEI,SERRANIDAE,Centropristis striata,1700208102,All,Brackishwater
Atlantic spadefish,PISCES,ACANTHUROIDEI,EPHIPPIDAE,Chaetodipterus faber,1740526701,All,Marine
Danube bleak,PISCES,CYPRINIFORMES,CYPRINIDAE,Chalcalburnus chalcoides,1400212401,All,Freshwater
Striped venus,MOLLUSCA,BIVALVIA,VENERIDAE,Chamelea gallina,3161100105,All,Marine
Indonesian snakehead,PISCES,OTHER PERCIFORMES,CHANNIDAE,Channa micropeltes,1771900104,All,Brackishwater
Variegated scallop,MOLLUSCA,BIVALVIA,PECTINIDAE,Chlamys varia,3160803602,All,Marine
Bagrid catfish,PISCES,SILURIFORMES,BAGRIDAE,Chrysichthys nigrodigitatus,1410807802,All,Freshwater
Black catfishes nei,PISCES,SILURIFORMES,BAGRIDAE,Chrysichthys spp,14108078XX,All,Brackishwater
Blackbelt cichlid,PISCES,PERCOIDEI,CICHLIDAE,Cichlasoma maculicauda,1705905307,All,Freshwater
Cichlasoma nei,PISCES,PERCOIDEI,CICHLIDAE,Cichlasoma spp,17059053XX,All,Freshwater
Mudfish,PISCES,SILURIFORMES,CLARIIDAE,Clarias anguillaris,1411803007,All,Freshwater
Mangrove cupped oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Crassostrea rhizophorae,3160700802,All,Brackishwater
Cupped oysters nei,MOLLUSCA,BIVALVIA,OSTREIDAE,Crassostrea spp,31607008XX,All,Brackishwater
American cupped oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Crassostrea virginica,3160700803,All,Brackishwater
Humpback grouper,PISCES,PERCOIDEI,SERRANIDAE,Cromileptes altivelis,1700212501,All,Marine
